AGE,MEAN,SD
12_14,84,11
15_19,79,10
20_24,78,10
25_29,77,11
30_34,77,11
35_39,76,10
40_44,76,10
45_49,76,11
50_54,75,10
55_59,76,12
60_64,76,11
65_69,77,12
>70,80,12
