AGE,MEAN,SD
12_14,80,10
15_19,76,10
20_24,75,10
25_29,73,10
30_34,73,10
35_39,71,10
40_44,72,10
45_49,72,10
50_54,72,10
55_59,72,11
60_64,73,11
65_69,73,10
>70,73,11
