AGE,MEAN,SD
1,78.1,4.9
2,88.2,4.7
3,95.4,4.7
4,102.8,5.2
5,110,6.4
6,114.6,5.7
7,121,6
8,127,6
9,132.6,7
10,137.9,6.3
11,145.5,7.2
12,150.8,9.2
13,160.2,8
14,164,7.8
15,168.8,6
16,169.1,5
17,169.8,5.7
18,171.2,3.7
19,169.6,3.6
20,171.6,6.8
21,172.5,5.1
22,171.3,4.7
23,168.3,6.1
24,171.7,5.4
25,171.4,6.5
26_29,170.5,5.7
30_39,170.8,6.1
40_49,170.9,5.7
50_59,169.5,5.7
60_69,165.9,6.1
>70,162.2,6.1
